category,asset_xml,source_category,baseline_mass_g,nominal_target_mass_g,effective_density_kg_m3,reference_mass_g,status,scenario_assumption
akita_black_bowl,libero/libero/assets/stable_scanned_objects/akita_black_bowl/akita_black_bowl.xml,akita_black_bowl,5.591,120,2146,119.989,compiled_collision_model,11 cm empty ceramic bowl
alphabet_soup,libero/libero/assets/stable_hope_objects/alphabet_soup/alphabet_soup.xml,alphabet_soup,25.851,200,774,200.090,compiled_collision_model,small filled soup can
basket,libero/libero/assets/stable_scanned_objects/basket/basket.xml,basket,136.107,250,184,250.437,compiled_collision_model,small empty basket
bbq_sauce,libero/libero/assets/stable_hope_objects/bbq_sauce/bbq_sauce.xml,bbq_sauce,12.180,100,821,100.000,compiled_collision_model,small filled sauce bottle
bigger_akita_black_bowl,libero/libero/assets/stable_scanned_objects/bigger_akita_black_bowl/bigger_akita_black_bowl.xml,akita_black_bowl,18.851,405,2146,404.537,compiled_collision_model,appearance/scale variant of akita_black_bowl
bigger_alphabet_soup,libero/libero/assets/stable_hope_objects/bigger_alphabet_soup/bigger_alphabet_soup.xml,alphabet_soup,87.294,676,774,675.652,compiled_collision_model,appearance/scale variant of alphabet_soup
bigger_milk,libero/libero/assets/stable_hope_objects/bigger_milk/bigger_milk.xml,milk,95.010,1050,1105,1049.860,compiled_collision_model,appearance/scale variant of milk
black_book,libero/libero/assets/turbosquid_objects/black_book/black_book.xml,black_book,42.547,200,470,199.971,compiled_collision_model,small hardback book
black_bowl,libero/libero/assets/stable_scanned_objects/black_bowl/black_bowl.xml,akita_black_bowl,5.591,120,2146,119.989,compiled_collision_model,appearance/scale variant of akita_black_bowl
blue_ketchup,libero/libero/assets/stable_hope_objects/blue_ketchup/blue_ketchup.xml,ketchup,23.217,150,646,149.981,compiled_collision_model,appearance/scale variant of ketchup
blue_red_sticker,notebooks/custom_assets/blue_red_sticker/blue_red_sticker.xml,,,,1000,,asset_xml_missing,asset XML absent; provisional density only
bowl_drainer,libero/libero/assets/turbosquid_objects/bowl_drainer/bowl_drainer.xml,bowl_drainer,175.194,400,228,399.443,compiled_collision_model,small metal dish drainer
brown_rack,libero/libero/assets/turbosquid_objects/brown_rack/brown_rack.xml,wine_rack,152.748,700,458,699.586,compiled_collision_model,appearance/scale variant of wine_rack
butter,libero/libero/assets/stable_hope_objects/butter/butter.xml,butter,5.247,50,953,50.006,compiled_collision_model,small butter pack
chefmate8_frypan,libero/libero/assets/stable_scanned_objects/chefmate_8_frypan/chefmate_8_frypan.xml,chefmate8_frypan,50.247,500,995,499.959,compiled_collision_model,small empty frying pan
cherries,libero/libero/assets/stable_hope_objects/cherries/cherries.xml,cherries,,,1000,,asset_xml_missing,asset absent; unverified density placeholder
chocolate_pudding,libero/libero/assets/stable_hope_objects/chocolate_pudding/chocolate_pudding.xml,chocolate_pudding,10.186,80,785,79.961,compiled_collision_model,small pudding cup
cookies,libero/libero/assets/stable_hope_objects/cookies/cookies.xml,cookies,9.643,50,519,50.045,compiled_collision_model,small cookie box
corn,libero/libero/assets/stable_hope_objects/corn/corn.xml,corn,,,1000,,asset_xml_missing,asset absent; unverified density placeholder
cream_cheese,libero/libero/assets/stable_hope_objects/cream_cheese/cream_cheese.xml,cream_cheese,6.194,70,1130,69.990,compiled_collision_model,small cream-cheese pack
desk_caddy,libero/libero/assets/turbosquid_objects/desk_caddy/desk_caddy.xml,desk_caddy,277.963,500,180,500.334,compiled_collision_model,desktop organizer
dining_set_group,libero/libero/assets/turbosquid_objects/dining_set_group/dining_set_group.xml,dining_set_group,15.544,250,1608,249.943,compiled_collision_model,small dish-and-utensil set
glazed_rim_porcelain_ramekin,libero/libero/assets/stable_scanned_objects/glazed_rim_porcelain_ramekin/glazed_rim_porcelain_ramekin.xml,glazed_rim_porcelain_ramekin,9.660,100,1035,99.976,compiled_collision_model,9 cm empty ceramic ramekin
green_bbq_sauce,libero/libero/assets/stable_hope_objects/green_bbq_sauce/green_bbq_sauce.xml,bbq_sauce,12.180,100,821,100.000,compiled_collision_model,appearance/scale variant of bbq_sauce
green_butter,libero/libero/assets/stable_hope_objects/green_butter/green_butter.xml,butter,5.247,50,953,50.006,compiled_collision_model,appearance/scale variant of butter
green_chocolate_pudding,libero/libero/assets/stable_hope_objects/green_chocolate_pudding/green_chocolate_pudding.xml,chocolate_pudding,10.186,80,785,79.961,compiled_collision_model,appearance/scale variant of chocolate_pudding
green_ketchup,libero/libero/assets/stable_hope_objects/green_ketchup/green_ketchup.xml,ketchup,23.217,150,646,149.981,compiled_collision_model,appearance/scale variant of ketchup
ketchup,libero/libero/assets/stable_hope_objects/ketchup/ketchup.xml,ketchup,23.217,150,646,149.981,compiled_collision_model,small filled ketchup bottle
libero_mug_green,notebooks/custom_assets/libero_mug_green/libero_mug_green.xml,,,,1000,,asset_xml_missing,asset XML absent; provisional density only
libero_mug_yellow,notebooks/custom_assets/libero_mug_yellow/libero_mug_yellow.xml,,12.973,250,1849,250.049,compiled_collision_model,small ceramic mug
macaroni_and_cheese,libero/libero/assets/stable_hope_objects/macaroni_and_cheese/macaroni_and_cheese.xml,macaroni_and_cheese,24.962,100,401,100.098,compiled_collision_model,small dry-food box
mayo,libero/libero/assets/stable_hope_objects/mayo/mayo.xml,mayo,,,1000,,asset_xml_missing,asset absent; unverified density placeholder
milk,libero/libero/assets/stable_hope_objects/milk/milk.xml,milk,31.666,350,1105,349.908,compiled_collision_model,small filled milk carton
moka_pot,libero/libero/assets/turbosquid_objects/moka_pot/moka_pot.xml,moka_pot,68.243,350,513,350.086,compiled_collision_model,small empty moka pot
